poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI4966463,311493.0368,5047973.003,309,J4B 7L4,81110000,0,0,0,0,0,0,0,0,0,0
POI1219164,310224.9676,5050731.965,309,J4B 5E4,73890000,0,0,0,0,0,0,0,0,0,0
POI1219045,307861.0201,5049380.994,309,J4B 2X7,17110000,0,0,0,0,0,0,0,0,0,0
POI3987538,309826.036,5045813.043,309,J4N 1A8,59920000,0,0,0,0,0,45311,0,0,0,0
POI1219824,311080.57,5047635.901,309,J4B 5H3,50840000,34990000,35370000,0,0,0,42183,337215,333924,0,0
POI4144442,309159.9836,5050923.947,309,J4B 8L1,87110000,0,0,0,0,0,0,0,0,0,0
POI1219404,312384.005,5047317.006,309,J4B 5Y2,35770000,0,0,0,0,0,0,0,0,0,0
POI1219773,309603.0133,5046872.952,309,J4B 7H5,75380000,50130000,35680000,0,0,0,811111,42112,333613,0,0
POI4960006,308862.994,5048864.023,309,J4B 1A9,59450000,0,0,0,0,0,0,0,0,0,0
POI4965118,310450.0275,5047985.977,309,J4B 7K1,59990000,17310000,0,0,0,0,443112,23531,0,0,0
POI3354800,308453.9984,5051516.053,309,J4B 5M4,80930000,0,0,0,0,0,0,0,0,0,0
POI1220024,309139.9938,5051400.025,309,J4B 7W2,83610000,0,0,0,0,0,0,0,0,0,0
POI1219890,308888.0063,5048444.96,309,J4B6G4,82990000,87480000,83310000,0,0,0,611699,61171,62431,0,0
POI111285,309946.9843,5049035.963,309,J4B 6H1,87420000,20240000,0,0,0,0,541613,31152,0,0,0
POI1219913,310186.9804,5046370.001,309,J4B 7L6,39990000,22410000,51310000,0,0,0,332999,313221,42231,0,0
POI4144574,307993.0124,5050071.969,309,J4B 8L7,80720000,0,0,0,0,0,0,0,0,0,0
POI3354982,309926.983,5046586.045,309,J4B7K2,23920000,36390000,0,0,0,0,314129,335228,0,0,0
POI1219966,310485.9981,5046192.01,309,J4B 7Y4,50840000,0,0,0,0,0,42183,0,0,0,0
POI1218797,309527.0277,5050012.039,309,J4B 1B7,59990000,7520000,0,0,0,0,45391,81291,0,0,0
POI1219994,308091.9645,5049743.958,309,J4B 7N6,51990000,0,0,0,0,0,42299,0,0,0,0
POI3355629,310458.775,5046623.065,309,J4B 6Z6,35770000,27520000,0,0,0,0,334119,323110,0,0,0
POI1218795,309522.8653,5049984.522,309,J4B 1B7,58120000,0,0,0,0,0,0,0,0,0,0
POI4966992,310692.0128,5045965.047,309,J4B 8C4,33150000,0,0,0,0,0,0,0,0,0,0
POI1219840,310265.0241,5047833.007,309,J4B 5Z5,36120000,0,0,0,0,0,335311,0,0,0,0
POI1219896,310265.9731,5046476.978,309,J4B 7L6,76990000,15210000,17990000,0,0,0,0,0,0,0,0
POI4146610,310636.0042,5051437.026,309,J4B 7S2,15210000,0,0,0,0,0,0,0,0,0,0
POI1219571,308477.9684,5051478.949,309,J4B 6N1,80930000,80210000,0,0,0,0,621498,62121,0,0,0
POI1219113,308880.9769,5054789.956,309,J4B 4B3,72310000,59990000,0,0,0,0,812112,44612,0,0,0
POI1219142,308746.9892,5052757.027,309,J4B 4V1,17310000,50630000,0,0,0,0,23531,42161,0,0,0
POI1219204,309393.0068,5052524.978,309,J4B 8H1,55310000,75390000,75380000,50130000,0,0,44132,811118,811111,42112,0
POI1219252,310556.0726,5047332.524,309,J4B 5H2,59620000,51490000,0,0,0,0,0,0,0,0,0
POI4967273,309813.0314,5050060.049,309,J4B 5V9,80210000,0,0,0,0,0,0,0,0,0,0
POI2090585,309868.3471,5046464.468,309,J4B 7L9,59620000,51490000,67320000,0,0,0,0,0,0,0,0
POI2090347,309078.018,5049286.023,309,J4B 2V1,87420000,0,0,0,0,0,0,0,0,0,0
POI4959202,311493.0368,5047973.003,309,J4B 7L4,15210000,17990000,0,0,0,0,23321,0,0,0,0
POI4917728,310614.023,5045871.957,309,J4B 8C4,55310000,0,0,0,0,0,44132,0,0,0,0
POI2090500,308610.9855,5051326.999,309,J4B 6T3,82990000,87420000,0,0,0,0,61143,541613,0,0,0
